Date,Airport,IFR Air Carrier,IFR Air Taxi,IFR General Aviation,IFR Military,IFR Total,VFR Air Carrier,VFR Air Taxi,VFR General Aviation,VFR Military,VFR Total,Total Air Carrier,Total Air Taxi,Total General Aviation,Total Military,Total Daily Activity
45292,ATL,1748,19,4,0,1771,0,0,0,0,0,1748,19,4,0,1771
45292,DEN,1661,161,5,0,1827,0,0,0,0,0,1661,161,5,0,1827
45292,JFK,1118,10,6,0,1134,0,0,14,0,14,1118,10,20,0,1148
45292,LAX,1399,76,29,0,1504,0,0,4,0,4,1399,76,33,0,1508
45292,ORD,1506,309,4,0,1819,0,0,1,0,1,1506,309,5,0,1820
45323,ATL,1997,23,14,0,2034,0,0,1,0,1,1997,23,15,0,2035
45323,DEN,1711,185,18,0,1914,0,0,1,0,1,1711,185,19,0,1915
45323,JFK,1192,17,9,0,1218,0,2,29,0,31,1192,19,38,0,1249
45323,LAX,1501,84,69,3,1657,0,0,0,0,0,1501,84,69,3,1657
45323,ORD,1593,343,6,0,1942,0,0,1,0,1,1593,343,7,0,1943
45352,ATL,1975,25,17,1,2018,0,0,0,0,0,1975,25,17,1,2018
45352,DEN,1752,208,2,0,1962,0,0,1,0,1,1752,208,3,0,1963
45352,JFK,1167,13,13,0,1193,0,3,38,0,41,1167,16,51,0,1234
45352,LAX,1537,61,48,6,1652,0,0,3,0,3,1537,61,51,6,1655
45352,ORD,1631,343,4,0,1978,0,0,0,0,0,1631,343,4,0,1978
45383,ATL,1983,16,3,0,2002,0,0,4,0,4,1983,16,7,0,2006
45383,DEN,1718,220,4,0,1942,0,0,0,0,0,1718,220,4,0,1942
45383,JFK,1144,10,1,0,1155,0,4,34,0,38,1144,14,35,0,1193
45383,LAX,1497,74,40,0,1611,0,0,3,0,3,1497,74,43,0,1614
45383,ORD,1596,312,4,0,1912,0,0,0,0,0,1596,312,4,0,1912
45413,ATL,1963,16,5,0,1984,0,2,4,2,8,1963,18,9,2,1992
45413,DEN,1716,219,12,0,1947,0,0,1,0,1,1716,219,13,0,1948
45413,JFK,1101,12,4,0,1117,0,4,23,0,27,1101,16,27,0,1144
45413,LAX,1488,63,26,0,1577,0,0,1,1,2,1488,63,27,1,1579
45413,ORD,1571,315,10,0,1896,0,0,0,0,0,1571,315,10,0,1896
45444,ATL,1855,9,8,0,1872,0,0,0,0,0,1855,9,8,0,1872
45444,DEN,1506,198,9,0,1713,0,0,0,0,0,1506,198,9,0,1713
45444,JFK,1095,16,3,0,1114,0,0,2,0,2,1095,16,5,0,1116
45444,LAX,1386,53,33,0,1472,0,0,3,0,3,1386,53,36,0,1475
45444,ORD,1503,309,7,0,1819,0,0,0,0,0,1503,309,7,0,1819
45474,ATL,1980,16,7,0,2003,0,0,0,0,0,1980,16,7,0,2003
45474,DEN,1647,186,12,0,1845,0,0,2,0,2,1647,186,14,0,1847
45474,JFK,1223,6,11,0,1240,0,0,13,0,13,1223,6,24,0,1253
45474,LAX,1482,65,49,0,1596,0,0,0,0,0,1482,65,49,0,1596
45474,ORD,1599,350,9,0,1958,0,0,0,0,0,1599,350,9,0,1958
45505,ATL,1955,20,13,2,1990,0,0,0,0,0,1955,20,13,2,1990
45505,DEN,1583,176,6,0,1765,0,0,0,0,0,1583,176,6,0,1765
45505,JFK,1178,10,7,0,1195,0,0,32,0,32,1178,10,39,0,1227
45505,LAX,1419,57,35,0,1511,0,0,0,1,1,1419,57,35,1,1512
45505,ORD,1545,309,6,0,1860,0,0,0,0,0,1545,309,6,0,1860
