Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Departure delay (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"AS","01/01/2024","0321","N972AK","SEA","18:02","18:12","10","0","0","0","0","0"
"AS","01/01/2024","0377","N531AS","SEA","07:00","07:44","44","15","0","0","0","0"
"AS","01/01/2024","0497","N590AS","SEA","09:00","09:01","1","0","0","0","0","0"
"AS","01/02/2024","0321","N266AK","SEA","18:02","18:00","-2","0","0","0","0","0"
"AS","01/02/2024","0377","N525AS","SEA","07:00","07:11","11","0","0","19","0","0"
"AS","01/02/2024","0497","N597AS","SEA","09:00","08:52","-8","0","0","0","0","0"
"AS","01/03/2024","0321","N559AS","SEA","18:02","17:56","-6","0","0","0","0","0"
"AS","01/03/2024","0377","N274AK","SEA","07:00","07:24","24","0","0","0","0","0"
"AS","01/03/2024","0497","N237AK","SEA","09:00","09:09","9","0","0","0","0","0"
"AS","01/04/2024","0321","N215AK","SEA","18:02","17:58","-4","0","0","0","0","0"
"AS","01/04/2024","0377","N585AS","SEA","07:00","07:12","12","0","0","0","0","0"
"AS","01/04/2024","0497","N423AS","SEA","09:00","09:03","3","0","0","0","0","0"
"AS","01/05/2024","0321","N284AK","SEA","18:02","17:59","-3","0","0","0","0","0"
"AS","01/05/2024","0377","N956AK","SEA","07:00","06:55","-5","0","0","0","0","0"
"AS","01/05/2024","0497","N975AK","SEA","09:00","08:56","-4","0","0","0","0","0"
"AS","01/06/2024","0321","N978AK","SEA","18:02","00:00","0","0","0","0","0","0"
"AS","01/06/2024","0377","N267AK","SEA","07:00","06:55","-5","0","0","0","0","0"
"AS","01/06/2024","0497","N419AS","SEA","09:00","08:53","-7","0","0","0","0","0"
"AS","01/07/2024","0321","N979AK","SEA","18:02","00:00","0","0","0","0","0","0"
"AS","01/07/2024","0377","N913AK","SEA","07:00","00:00","0","0","0","0","0","0"
"AS","01/08/2024","0321","N472AS","SEA","17:10","17:22","12","0","0","0","0","0"
"AS","01/08/2024","0497","N487AS","SEA","07:00","06:51","-9","0","0","0","0","0"
"AS","01/09/2024","0321","N570AS","SEA","17:10","17:12","2","0","0","0","0","0"
"AS","01/09/2024","0497","N516AS","SEA","07:00","07:01","1","0","0","0","0","0"
"AS","01/10/2024","0321","N409AS","SEA","17:10","18:02","52","0","0","0","0","27"
"AS","01/10/2024","0497","N528AS","SEA","07:00","07:03","3","0","0","0","0","0"
"AS","01/11/2024","0321","N961AK","SEA","17:10","00:00","0","0","0","0","0","0"
"AS","01/11/2024","0497","N975AK","SEA","07:00","00:00","0","0","0","0","0","0"
"AS","01/12/2024","0321","N928AK","SEA","17:10","00:00","0","0","0","0","0","0"
"AS","01/12/2024","0497","N551AS","SEA","07:00","07:18","18","0","0","0","0","0"
"AS","01/13/2024","0321","N260AK","SEA","17:10","18:13","63","63","0","5","0","0"
"AS","01/13/2024","0497","N553AS","SEA","07:00","06:55","-5","0","0","0","0","0"
"AS","01/14/2024","0321","N284AK","SEA","17:10","17:07","-3","0","0","35","0","0"
"AS","01/14/2024","0497","N943AK","SEA","07:00","00:00","0","0","0","0","0","0"
"AS","01/15/2024","0321","N931AK","SEA","17:10","00:00","0","0","0","0","0","0"
"AS","01/15/2024","0497","N520AS","SEA","07:00","06:53","-7","0","0","0","0","0"
"AS","01/16/2024","0321","N903AK","SEA","17:10","00:00","0","0","0","0","0","0"
"AS","01/16/2024","0497","N569AS","SEA","07:00","07:32","32","24","0","0","0","0"
"AS","01/17/2024","0321","N917AK","SEA","17:10","00:00","0","0","0","0","0","0"
"AS","01/17/2024","0497","N551AS","SEA","07:00","06:54","-6","0","0","26","0","0"
"AS","01/18/2024","0321","N523AS","SEA","17:10","17:03","-7","0","0","0","0","0"
"AS","01/18/2024","0497","N273AK","SEA","07:00","06:53","-7","0","0","0","0","0"
"AS","01/19/2024","0321","N943AK","SEA","17:10","00:00","0","0","0","0","0","0"
"AS","01/19/2024","0497","N525AS","SEA","07:00","06:52","-8","0","0","0","0","0"
"AS","01/20/2024","0321","N551AS","SEA","17:10","16:54","-16","0","0","0","0","0"
"AS","01/20/2024","0497","N532AS","SEA","07:00","06:55","-5","0","0","0","0","0"
"AS","01/21/2024","0321","N975AK","SEA","17:10","00:00","0","0","0","0","0","0"
"AS","01/21/2024","0497","N280AK","SEA","07:00","06:57","-3","0","0","0","0","0"
"AS","01/22/2024","0321","N278AK","SEA","17:10","17:41","31","0","0","0","0","0"
