Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Departure delay (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"B6","01/01/2024","0098","N658JB","JFK","22:55","22:46","-9","0","0","0","0","0"
"B6","01/01/2024","0394","N3113J","BOS","09:45","09:46","1","1","0","14","0","0"
"B6","01/01/2024","0894","N3142J","BOS","22:49","22:50","1","0","0","0","0","0"
"B6","01/01/2024","2156","N625JB","LGA","23:59","23:58","-1","0","0","0","0","0"
"B6","01/02/2024","0098","N585JB","JFK","22:55","22:50","-5","0","0","0","0","0"
"B6","01/02/2024","0153","N648JB","LGA","14:17","14:11","-6","0","0","0","0","0"
"B6","01/02/2024","0394","N3123J","BOS","09:45","10:03","18","7","0","3","0","11"
"B6","01/02/2024","2156","N580JB","LGA","23:59","00:33","34","0","0","0","2","26"
"B6","01/03/2024","0098","N612JB","JFK","22:55","22:48","-7","0","0","0","0","0"
"B6","01/03/2024","0153","N570JB","LGA","14:17","14:11","-6","0","0","0","0","0"
"B6","01/03/2024","0394","N3142J","BOS","09:45","09:41","-4","0","0","0","0","0"
"B6","01/03/2024","2156","N559JB","LGA","23:59","23:49","-10","0","0","0","0","0"
"B6","01/04/2024","0098","N640JB","JFK","23:59","00:37","38","9","0","30","0","29"
"B6","01/04/2024","0356","N507JT","LGA","13:38","13:31","-7","0","0","0","0","0"
"B6","01/04/2024","0394","N3112J","BOS","09:40","09:31","-9","0","0","0","0","0"
"B6","01/05/2024","0098","N796JB","JFK","23:59","23:53","-6","0","0","0","0","0"
"B6","01/05/2024","0356","N658JB","LGA","13:38","13:30","-8","0","0","0","0","0"
"B6","01/05/2024","0394","N3149J","BOS","09:40","09:33","-7","0","0","0","0","0"
"B6","01/06/2024","0098","N760JB","JFK","23:59","01:31","92","0","0","1","0","92"
"B6","01/06/2024","0356","N547JB","LGA","14:51","20:20","329","192","0","0","0","126"
"B6","01/06/2024","0394","N3115J","BOS","11:30","11:24","-6","0","0","0","0","0"
"B6","01/07/2024","0098","N623JB","JFK","23:59","01:05","66","14","0","0","0","42"
"B6","01/07/2024","0356","N637JB","LGA","13:27","15:16","109","108","0","0","0","0"
"B6","01/07/2024","0394","N3152J","BOS","11:30","14:28","178","178","0","40","0","0"
"B6","01/08/2024","0098","N612JB","JFK","23:59","00:06","7","0","0","0","0","0"
"B6","01/08/2024","0356","N793JB","LGA","13:27","13:48","21","0","0","0","0","0"
"B6","01/08/2024","0394","N3125J","BOS","11:30","12:17","47","7","0","1","0","40"
"B6","01/09/2024","0098","N651JB","JFK","23:59","01:15","76","3","0","0","0","70"
"B6","01/09/2024","0356","N598JB","LGA","13:27","13:13","-14","0","0","24","0","0"
"B6","01/09/2024","0394","N3123J","BOS","11:30","11:29","-1","0","0","23","0","0"
"B6","01/10/2024","0098","N708JB","JFK","23:59","23:57","-2","0","0","0","0","0"
"B6","01/10/2024","0356","N571JB","LGA","13:27","13:21","-6","0","0","0","0","0"
"B6","01/10/2024","0394","N3065J","BOS","11:30","11:33","3","0","0","0","0","0"
"B6","01/11/2024","0098","N632JB","JFK","23:59","23:52","-7","0","0","0","0","0"
"B6","01/11/2024","0356","N636JB","LGA","13:27","13:57","30","0","30","14","0","0"
"B6","01/11/2024","0394","N3145J","BOS","11:30","11:35","5","0","0","0","0","0"
"B6","01/12/2024","0098","N639JB","JFK","23:59","00:24","25","0","25","26","0","0"
"B6","01/12/2024","0356","N766JB","LGA","13:27","13:24","-3","0","0","0","0","0"
"B6","01/12/2024","0394","N3112J","BOS","11:30","11:46","16","8","0","15","0","8"
"B6","01/13/2024","0098","N794JB","JFK","23:59","00:37","38","0","9","0","0","13"
"B6","01/13/2024","0356","N636JB","LGA","14:51","14:55","4","0","0","0","0","0"
