Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Departure delay (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"NK","01/01/2024","1203","N690NK","LAS","22:48","22:50","2","0","0","0","0","0"
"NK","01/01/2024","1244","N611NK","LAS","11:40","12:18","38","0","0","0","0","0"
"NK","01/01/2024","1320","N702NK","FLL","23:59","00:47","48","13","0","1","0","16"
"NK","01/01/2024","3139","N923NK","MIA","10:33","11:16","43","17","0","1","0","14"
"NK","01/02/2024","1203","N690NK","LAS","11:47","11:58","11","0","0","0","0","0"
"NK","01/02/2024","1244","N981NK","LAS","15:24","15:22","-2","0","0","0","0","0"
"NK","01/02/2024","1320","N706NK","FLL","23:59","00:31","32","0","0","21","0","0"
"NK","01/02/2024","3139","N976NK","MIA","10:33","11:09","36","0","0","18","0","10"
"NK","01/03/2024","1203","N963NK","LAS","22:51","22:52","1","0","0","0","0","0"
"NK","01/03/2024","1244","N980NK","LAS","15:24","15:26","2","0","0","0","0","0"
"NK","01/03/2024","1320","N702NK","FLL","23:59","00:23","24","0","0","0","0","0"
"NK","01/03/2024","3139","N972NK","MIA","10:33","11:05","32","0","0","34","0","0"
"NK","01/04/2024","1203","N961NK","LAS","21:00","20:47","-13","0","0","0","0","0"
"NK","01/04/2024","1244","N645NK","LAS","11:40","11:43","3","0","0","0","0","0"
"NK","01/04/2024","1320","N706NK","FLL","23:59","00:59","60","0","0","0","0","58"
"NK","01/04/2024","3139","N968NK","MIA","10:33","10:40","7","0","0","0","0","0"
"NK","01/05/2024","1203","N621NK","LAS","22:48","22:51","3","0","0","0","0","0"
"NK","01/05/2024","1244","N608NK","LAS","11:40","11:33","-7","0","0","0","0","0"
"NK","01/05/2024","1320","N702NK","FLL","23:59","00:38","39","5","0","1","0","9"
"NK","01/05/2024","3139","N974NK","MIA","10:33","10:35","2","0","0","0","0","0"
"NK","01/06/2024","1203","N663NK","LAS","18:51","19:14","23","12","0","1","0","8"
"NK","01/06/2024","1244","N967NK","LAS","15:00","14:59","-1","0","0","0","0","0"
"NK","01/06/2024","1320","N705NK","FLL","23:59","01:19","80","0","0","4","0","59"
"NK","01/06/2024","3139","N926NK","MIA","10:33","11:19","46","0","0","87","0","0"
"NK","01/07/2024","1203","N628NK","LAS","22:48","22:42","-6","0","0","0","0","0"
"NK","01/07/2024","1244","N635NK","LAS","11:40","12:33","53","31","0","13","0","0"
"NK","01/07/2024","1320","N702NK","FLL","23:59","01:14","75","9","0","40","0","51"
"NK","01/07/2024","3139","N981NK","MIA","10:33","11:23","50","39","0","0","0","0"
"NK","01/08/2024","1203","N603NK","LAS","22:48","23:21","33","0","0","0","0","0"
"NK","01/08/2024","1244","N620NK","LAS","11:40","11:47","7","0","0","0","0","0"
"NK","01/08/2024","1320","N684NK","FLL","23:59","00:38","39","0","0","49","0","0"
"NK","01/08/2024","3139","N959NK","MIA","10:33","10:33","0","0","0","25","0","0"
"NK","01/09/2024","1203","N629NK","LAS","11:47","12:08","21","0","0","0","0","0"
"NK","01/09/2024","1244","N965NK","LAS","15:24","15:21","-3","0","0","0","0","0"
"NK","01/09/2024","1320","N702NK","FLL","23:59","12:05","726","0","0","693","0","56"
"NK","01/09/2024","3139","N982NK","MIA","10:33","12:02","89","0","0","0","0","56"
