Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Departure delay (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"F9","06/06/2024","3545","N394FR","SJU","11:08","11:17","9","0","0","0","0","0"
"F9","06/07/2024","3545","N640FR","SJU","11:08","11:16","8","8","0","59","0","0"
"F9","06/07/2024","3547","N303FR","SJU","05:59","06:19","20","20","0","37","0","0"
"F9","06/08/2024","3545","N396FR","SJU","11:08","11:02","-6","0","0","0","0","0"
"F9","06/08/2024","3547","N392FR","SJU","05:59","05:56","-3","0","0","0","0","0"
"F9","06/09/2024","3545","N395FR","SJU","11:08","10:55","-13","0","0","0","0","0"
"F9","06/09/2024","3547","N396FR","SJU","05:59","06:02","3","0","0","0","0","0"
"F9","06/10/2024","3545","N607FR","SJU","11:08","11:15","7","0","0","59","0","0"
"F9","06/10/2024","3547","N392FR","SJU","05:59","05:50","-9","0","0","16","0","0"
"F9","06/11/2024","3545","N398FR","MCO","11:08","13:47","159","0","0","0","0","0"
"F9","06/11/2024","3547","N375FR","SJU","05:59","06:48","49","49","0","50","0","0"
"F9","06/12/2024","3545","N609FR","SJU","11:08","08:20","1272","1272","0","9","0","0"
"F9","06/12/2024","3547","N375FR","SJU","05:59","06:02","3","3","0","40","0","0"
"F9","06/13/2024","3545","N396FR","SJU","11:08","11:07","-1","0","0","0","0","0"
"F9","06/13/2024","3547","N395FR","SJU","05:59","06:10","11","11","0","8","0","0"
"F9","06/14/2024","3545","","SJU","11:08","00:00","0","0","0","0","0","0"
"F9","06/14/2024","3547","N337FR","SJU","05:59","06:35","36","36","0","40","0","0"
"F9","06/15/2024","3545","","SJU","11:08","00:00","0","0","0","0","0","0"
"F9","06/15/2024","3547","N394FR","SJU","05:59","06:17","18","18","0","7","0","0"
"F9","06/16/2024","3545","N304FR","SJU","11:08","13:07","119","0","0","0","0","0"
"F9","06/16/2024","3547","N395FR","SJU","05:59","05:55","-4","0","0","0","0","0"
"F9","06/17/2024","3545","N620FR","SJU","11:08","11:02","-6","0","0","0","0","0"
"F9","06/17/2024","3547","N395FR","SJU","05:59","05:59","0","0","0","0","0","0"
"F9","06/18/2024","3545","N636FR","SJU","11:08","11:11","3","0","0","0","0","0"
"F9","06/18/2024","3547","N394FR","SJU","05:59","07:58","119","119","0","3","0","0"
"F9","06/19/2024","3545","N705FR","SJU","11:08","13:18","130","0","0","0","0","0"
"F9","06/19/2024","3547","N394FR","SJU","05:59","06:29","30","28","0","0","0","0"
"F9","06/20/2024","3545","N396FR","SJU","11:08","11:00","-8","0","0","0","0","0"
"F9","06/20/2024","3547","N395FR","SJU","05:59","05:54","-5","0","0","0","0","0"
"F9","06/21/2024","3545","N616FR","SJU","11:08","11:14","6","0","0","0","0","0"
"F9","06/21/2024","3547","N394FR","SJU","05:59","05:53","-6","0","0","0","0","0"
"F9","06/22/2024","3545","N395FR","SJU","11:08","11:25","17","0","0","7","0","17"
"F9","06/22/2024","3547","N396FR","SJU","05:59","07:14","75","33","0","0","0","36"
"F9","06/23/2024","3545","N394FR","SJU","11:08","11:04","-4","0","0","0","0","0"
"F9","06/23/2024","3547","N395FR","SJU","05:59","06:03","4","0","0","0","0","0"
"F9","06/24/2024","3545","N616FR","SJU","11:08","11:06","-2","0","0","22","0","0"
"F9","06/24/2024","3547","N395FR","SJU","05:59","06:16","17","17","0","12","0","0"
"F9","06/25/2024","3545","N636FR","SJU","11:08","11:29","21","11","0","34","0","10"
"F9","06/25/2024","3547","N606FR","SJU","05:59","06:02","3","3","0","39","0","0"
"F9","06/26/2024","3545","N636FR","SJU","11:08","09:30","1342","1342","0","90","0","0"
"F9","06/26/2024","3547","N395FR","SJU","05:59","06:04","5","0","0","0","0","0"
"F9","06/27/2024","3545","N394FR","SJU","11:08","11:05","-3","0","0","40","0","0"
"F9","06/27/2024","3547","N395FR","SJU","05:59","06:07","8","0","0","0","0","0"
"F9","06/28/2024","3545","N636FR","SJU","11:08","11:23","15","0","0","6","0","15"
"F9","06/28/2024","3547","N393FR","SJU","05:59","05:57","-2","0","0","0","0","0"
"F9","06/29/2024","3545","N395FR","SJU","11:08","10:59","-9","0","0","0","0","0"
"F9","06/29/2024","3547","N392FR","SJU","05:59","05:52","-7","0","0","0","0","0"
"F9","06/30/2024","3545","N394FR","SJU","11:08","11:06","-2","0","0","0","0","0"
"F9","06/30/2024","3547","N395FR","SJU","05:59","06:01","2","0","0","0","0","0"
"F9","07/01/2024","3545","N622FR","SJU","11:08","11:26","18","18","0","34","0","0"
"F9","07/01/2024","3547","N394FR","SJU","05:59","09:38","219","219","0","28","0","0"
"F9","07/02/2024","3545","N619FR","SJU","11:08","11:38","30","10","0","4","0","20"
"F9","07/02/2024","3547","N394FR","SJU","05:59","05:56","-3","0","0","0","0","0"
"F9","07/03/2024","3545","N641FR","SJU","11:08","11:15","7","0","0","0","0","0"
"F9","07/03/2024","3547","N393FR","SJU","05:59","06:00","1","0","0","0","0","0"
"F9","07/04/2024","3545","N392FR","SJU","11:08","12:53","105","0","0","11","0","105"
"F9","07/04/2024","3547","N396FR","SJU","05:59","05:59","0","0","0","0","0","0"
"F9","07/05/2024","3545","N615FR","SJU","11:08","11:21","13","7","0","3","0","6"
"F9","07/05/2024","3547","N392FR","SJU","05:59","07:53","114","114","0","1","0","0"
"F9","07/06/2024","3545","N396FR","SJU","11:08","11:42","34","20","0","27","0","14"
"F9","07/06/2024","3547","N393FR","SJU","05:59","06:10","11","0","0","0","0","0"
"F9","07/07/2024","3545","N396FR","SJU","11:08","12:00","52","17","0","38","0","35"
"F9","07/07/2024","3547","N392FR","SJU","05:59","05:51","-8","0","0","0","0","0"
"F9","07/08/2024","3545","N625FR","SJU","11:08","11:08","0","0","0","0","0","0"
"F9","07/08/2024","3547","N392FR","SJU","05:59","05:50","-9","0","0","0","0","0"
"F9","07/09/2024","3545","N625FR","SJU","11:08","11:04","-4","0","0","0","0","0"
"F9","07/09/2024","3547","N395FR","SJU","05:59","05:47","-12","0","0","0","0","0"
"F9","07/10/2024","3545","N625FR","SJU","11:08","11:32","24","0","0","0","0","0"
"F9","07/10/2024","3547","N395FR","SJU","05:59","05:56","-3","0","0","0","0","0"
"F9","07/11/2024","3545","N393FR","SJU","11:08","11:04","-4","0","0","0","0","0"
"F9","07/11/2024","3547","N392FR","SJU","05:59","06:34","35","35","0","1","0","0"
"F9","07/12/2024","3545","N610FR","SJU","11:08","11:11","3","0","0","0","0","0"
"F9","07/12/2024","3547","N392FR","SJU","05:59","05:59","0","0","0","0","0","0"
"F9","07/13/2024","3545","N396FR","SJU","11:08","11:28","20","20","0","17","0","0"
"F9","07/13/2024","3547","N394FR","SJU","05:59","05:59","0","0","0","0","0","0"
"F9","07/14/2024","3545","N395FR","SJU","11:08","11:05","-3","0","0","19","0","0"
"F9","07/14/2024","3547","N396FR","SJU","05:59","20:35","876","423","0","7","0","453"
"F9","07/15/2024","3545","N629FR","SJU","11:08","11:06","-2","0","0","0","0","0"
"F9","07/15/2024","3547","N396FR","SJU","05:59","08:12","133","37","60","1","0","36"
