Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Departure delay (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"B6","01/01/2024","0312","N284JB","BOS","08:37","08:23","-14","0","0","0","0","0"
"B6","01/01/2024","0906","N354JB","JFK","12:02","11:48","-14","0","0","0","0","0"
"B6","01/02/2024","0312","N304JB","BOS","08:37","08:30","-7","0","0","0","0","0"
"B6","01/02/2024","0906","N337JB","JFK","12:02","11:52","-10","0","0","0","0","0"
"B6","01/03/2024","0312","N228JB","BOS","08:37","08:35","-2","0","0","27","0","0"
"B6","01/03/2024","0906","N231JB","JFK","12:02","11:52","-10","0","0","0","0","0"
"B6","01/04/2024","0106","N238JB","JFK","17:50","17:40","-10","0","0","0","0","0"
"B6","01/04/2024","0312","N283JB","BOS","11:20","12:39","79","0","0","0","0","70"
"B6","01/04/2024","0412","N266JB","BOS","19:00","22:40","220","159","0","0","0","50"
"B6","01/05/2024","0106","N307JB","JFK","17:50","17:41","-9","0","0","0","0","0"
"B6","01/05/2024","0312","N247JB","BOS","11:20","11:11","-9","0","0","0","0","0"
"B6","01/05/2024","0412","N375JB","BOS","19:00","18:51","-9","0","0","0","0","0"
"B6","01/06/2024","0106","N354JB","JFK","17:40","17:31","-9","0","0","0","0","0"
"B6","01/06/2024","0312","N368JB","BOS","11:25","11:22","-3","0","0","22","0","0"
"B6","01/06/2024","0412","N247JB","BOS","19:15","00:00","0","0","0","0","0","0"
"B6","01/07/2024","0106","N228JB","JFK","17:40","18:45","65","0","0","11","0","42"
"B6","01/07/2024","0312","N354JB","BOS","11:25","11:52","27","0","0","0","0","0"
"B6","01/07/2024","0412","N247JB","BOS","19:15","12:55","1060","1040","0","0","0","0"
"B6","01/08/2024","0106","N375JB","JFK","17:40","17:53","13","0","0","0","0","0"
