"STATION","NAME","DATE","AWND","PGTM","WDF2","WDF5","WSF2","WSF5"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2025-04-01","16.55",,"  330","  310","29.1","36.9"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2025-04-02","12.53",,"  130","  140","21.9","28.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2025-04-03","8.95",,"  190","  170","16.1","21.9"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2025-04-04","10.07",,"  300","  300","21.0","28.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2025-04-05","14.09",,"  110","  110","25.9","36.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2025-04-06","7.61",,"  330","  320","18.1","23.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2025-04-07","8.50",,"  360","  350","19.9","23.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2025-04-08","18.12",,"  320","  310","35.1","46.1"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2025-04-09","14.99",,"  330","  320","23.9","33.1"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2025-04-10","10.29",,"  180","   90","19.9","28.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2025-04-11","11.18",,"   40","   30","28.0","36.9"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2025-04-12","16.11",,"   30","   20","25.1","36.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2025-04-13","12.97",,"  340","  330","28.0","36.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2025-04-14","8.05",,"  240","  180","16.1","19.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2025-04-15","13.20",,"  290","  300","36.0","48.1"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2025-04-16","20.36",,"  280","  280","30.0","42.1"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2025-04-17","13.42",,"  320","  310","25.1","35.1"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2025-04-18","12.53",,"  180","  190","32.0","42.9"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2025-04-19","13.42",,"  240","  260","23.9","35.1"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2025-04-20","14.99",,"  340","  350","31.1","40.9"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2025-04-21","9.17",,"  130","  120","19.9","28.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2025-04-22","9.40",,"  260","  270","19.9","25.9"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2025-04-23","10.51",,"  360","   10","21.0","25.9"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2025-04-24","9.40",,"  190","  180","21.9","28.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2025-04-25","13.42",,"  180","  180","25.1","33.1"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2025-04-26","14.99",,"  310","  320","31.1","38.9"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2025-04-27","22.15",,"  320","  330","36.0","49.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2025-04-28","12.53",,"  190","  200","21.9","29.1"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2025-04-29","15.66",,"  190","  180","31.1","40.0"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2025-04-30","14.09",,"  330","  340","25.9","33.1"
