"STATION","NAME","DATE","AWND","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT03","WT04","WT06","WT08"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2024-01-01","6.71",,"0.00","0.0","0.0","42","47","35","  350","  340","15.0","18.1",,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2024-01-02","9.84",,"0.00","0.0","0.0","36","42","28","  350","  350","18.1","21.9",,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2024-01-03","8.50",,"0.00","0.0","0.0","39","45","33","  300","  300","14.1","19.9",,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2024-01-04","14.32",,"0.00","0.0","0.0","40","46","28","  310","  310","29.1","34.0",,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2024-01-05","13.20",,"0.00","0.0","0.0","31","38","26","  340","  330","23.0","28.0",,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2024-01-06","11.18",,"0.54","0.1","0.0","33","39","27","   70","   60","29.1","36.0","    1",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2024-01-07","15.66",,"0.28","0.0","0.0","37","39","35","  320","  310","23.0","31.1","    1",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2024-01-08","12.30",,"0.00","0.0","0.0","39","45","32","  330","  330","33.1","40.9",,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2024-01-09","16.55",,"1.59","0.0","0.0","37","54","28","  150","  160","40.0","53.9","    1",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2024-01-10","22.59",,"0.28","0.0","0.0","50","54","43","  270","  280","36.0","46.1","    1",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2024-01-11","14.76",,"0.00","0.0","0.0","44","46","39","  270","  270","28.0","35.1",,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2024-01-12","11.41",,"0.06","0.0","0.0","42","48","34","  100","  110","31.1","42.9","    1",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2024-01-13","22.82",,"1.13","0.0","0.0","49","56","35","  280","  280","38.0","49.0","    1","    1",,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2024-01-14","21.47",,"0.00","0.0","0.0","37","44","26","  280","  270","36.9","48.1",,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2024-01-15","9.40",,"0.06","0.7","0.0","27","29","23","  310","  290","17.0","21.0","    1",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2024-01-16","14.32",,"0.36","1.3","2.0","28","32","22","  310","  320","30.0","38.0","    1",,,"    1","    1",
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2024-01-17","18.12",,"0.00","0.0","1.2","22","24","18","  260","  260","28.0","32.0",,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2024-01-18","11.41",,"0.00","0.0","1.2","26","33","22","  270","  270","21.0","25.1",,,,,,
